symbol,name,decimals,depositFee,depositConfirmations,depositStatus,withdrawalFee,withdrawalMinAmount,withdrawalStatus,networks,message
ORCA,Orca,8,0,100,OK,0.043,0.043,OK,['SOL'],
ORDI,Ordinals,5,0,64,MAINTENANCE,0,1,MAINTENANCE,['BTC'],This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
OSMO,Osmosis,6,0,64,OK,0.01,0.01,OK,['OSMO'],
OXT,Orchid,8,0,32,OK,9.7,9.7,OK,['ETH'],
PEAQ,peaq,8,0,64,OK,0.01,0.01,OK,['PEAQ'],
PENDLE,Pendle,8,0,64,OK,0.089,0.089,OK,['ARB'],
PENGU,Pengu,8,0,100,OK,12,12,OK,['SOL'],
PEOPLE,ConstitutionDAO,8,0,32,OK,44,44,OK,['ETH'],
PEPE,Pepe,0,0,32,OK,120000,120000,OK,['ETH'],
PERP,Perpetual Protocol,8,0,32,OK,2,2,OK,['ETH'],
PHA,Phala Network,8,0,32,OK,6,6,OK,['ETH'],
PHB,Phoenix,8,0,32,OK,0.15,0.15,OK,['BSC'],
PIXEL,Pixels,8,0,32,OK,17,17,OK,['ETH'],
PLUME,Plume,8,0,32,OK,5.3,5.3,OK,['ETH'],
PNUT,Peanut the Squirrel,6,0,100,OK,0.36,0.36,OK,['SOL'],
POL,POL,8,0,32,OK,3.2,3.2,OK,['ETH'],
POLS,Polkastarter,8,0,32,OK,3,3,OK,['ETH'],
POLYX,Polymesh,6,0,0,MAINTENANCE,0.0001,0.0002,MAINTENANCE,['POLYX'],This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
POND,Marlin,8,0,32,OK,71,71,OK,['ETH'],
PONKE,Ponke,8,0,100,OK,0.62,0.62,OK,['SOL'],
POPCAT,Popcat,8,0,100,OK,0.32,0.32,OK,['SOL'],
PORTAL,Portal,8,0,32,OK,6.9,6.9,OK,['ETH'],
POWR,Powerledger,6,0,32,OK,4.3,4.3,OK,['ETH'],
